site_name,month,customer_type,cluster,n_obs,n_total_type_month_site,p_empirical,p_shrunk,p05,p50,p95,uncertainty_width,phi_balanced_tm_cluster,kappa_effective,support_weight,prior_alpha,posterior_alpha
Gbowele,2024-08,HH3,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-08,HH3,inactive,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-08,HH3,outlier,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-09,HH1,0,2,6,0.3333333333333333,0.27235772357723576,0.07778419236201309,0.25872000853806953,0.5233728192632265,0.4455886269012135,0.16666666666666666,3.4615384615384617,0.23076923076923078,0.5769230769230769,2.5769230769230766
Gbowele,2024-09,HH1,1,0,6,0.0,0.09146341463414634,0.0031867234812509924,0.06191778650548854,0.2653786522724995,0.26219192879124853,0.25,3.4615384615384617,0.23076923076923078,0.8653846153846154,0.8653846153846154
Gbowele,2024-09,HH1,2,3,6,0.5,0.43466898954703836,0.1863800548661914,0.4292297225620195,0.6915916839397482,0.5052116290735569,0.3214285714285714,3.4615384615384617,0.23076923076923078,1.1126373626373627,4.112637362637363
Gbowele,2024-09,HH1,3,1,6,0.16666666666666666,0.20150987224157957,0.038633256778587796,0.18114511904454333,0.42947921633055797,0.39084595955197016,0.2619047619047619,3.4615384615384617,0.23076923076923078,0.9065934065934067,1.9065934065934067
Gbowele,2024-09,HH1,inactive,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,0.23076923076923078,0.0,0.0
Gbowele,2024-09,HH1,outlier,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,0.23076923076923078,0.0,0.0
Gbowele,2024-09,HH2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-09,HH2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-09,HH2,2,1,1,1.0,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.0,0.7142857142857142,0.047619047619047616,0.7142857142857142,1.7142857142857142
Gbowele,2024-09,HH2,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-09,HH2,inactive,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-09,HH2,outlier,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-09,HH3,0,1,1,1.0,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.0,0.7142857142857142,0.047619047619047616,0.7142857142857142,1.7142857142857142
Gbowele,2024-09,HH3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-09,HH3,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-09,HH3,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
