customer_type,maturity,cluster,p_empirical,p_prior,p_posterior,n_observations,shrinkage_weight
HH1,4-6,3,0.0045871559633027525,0.003676470588235294,0.004516008668375608,236,0.921875
HH1,4-6,inactive,0.02687278769052951,0.02231936081519222,0.026517051215893785,236,0.921875
HH1,4-6,outlier,0.027522935779816515,0.022058823529411766,0.027096052010253644,236,0.921875
HH2,4-6,0,0.3333333333333333,0.1863999536822603,0.22030765667866176,6,0.23076923076923078
HH2,4-6,1,0.5,0.5250694766095414,0.5192842127765703,6,0.23076923076923078
HH2,4-6,2,0.16666666666666666,0.24047591477535896,0.22344301136566072,6,0.23076923076923078
HH2,4-6,3,0.0,0.003676470588235294,0.0028280542986425334,6,0.23076923076923078
HH2,4-6,inactive,0.0,0.02231936081519222,0.017168739088609396,6,0.23076923076923078
HH2,4-6,outlier,0.0,0.022058823529411766,0.016968325791855202,6,0.23076923076923078
HH3,4-6,0,0.2857142857142857,0.1863999536822603,0.23726827008890744,21,0.5121951219512195
HH3,4-6,1,0.6666666666666666,0.5250694766095414,0.5975948666388007,21,0.5121951219512195
HH3,4-6,2,0.047619047619047616,0.24047591477535896,0.14169556818310192,21,0.5121951219512195
HH3,4-6,3,0.0,0.003676470588235294,0.001793400286944046,21,0.5121951219512195
HH3,4-6,inactive,0.0,0.02231936081519222,0.01088749308058157,21,0.5121951219512195
HH3,4-6,outlier,0.0,0.022058823529411766,0.010760401721664276,21,0.5121951219512195
HH1,7-12,0,0.25382096069869,0.2564251273653566,0.25394956152173526,385,0.9506172839506173
HH1,7-12,1,0.3897939760385175,0.4194414119359534,0.39125804694703287,385,0.9506172839506173
HH1,7-12,2,0.3177835628708991,0.2915415756914119,0.3164876622694429,385,0.9506172839506173
HH1,7-12,3,0.0,0.0,0.0,385,0.9506172839506173
HH1,7-12,inactive,0.025780987571380587,0.022175218340611355,0.02560292489331791,385,0.9506172839506173
HH1,7-12,outlier,0.01282051282051282,0.010416666666666666,0.012701804368471034,385,0.9506172839506173
HH2,7-12,0,0.0,0.2564251273653566,0.1602657046033479,12,0.375
HH2,7-12,1,1.0,0.4194414119359534,0.637150882459971,12,0.375
HH2,7-12,2,0.0,0.2915415756914119,0.18221348480713248,12,0.375
HH2,7-12,3,0.0,0.0,0.0,12,0.375
HH2,7-12,inactive,0.0,0.022175218340611355,0.013859511462882099,12,0.375
HH2,7-12,outlier,0.0,0.010416666666666666,0.006510416666666667,12,0.375
HH3,7-12,0,0.4166666666666667,0.2564251273653566,0.34382960334788937,24,0.5454545454545454
HH3,7-12,1,0.4166666666666667,0.4194414119359534,0.4179279145163425,24,0.5454545454545454
HH3,7-12,2,0.16666666666666666,0.2915415756914119,0.2234279889506418,24,0.5454545454545454
HH3,7-12,3,0.0,0.0,0.0,24,0.5454545454545454
HH3,7-12,inactive,0.0,0.022175218340611355,0.01007964470027789,24,0.5454545454545454
HH3,7-12,outlier,0.0,0.010416666666666666,0.004734848484848485,24,0.5454545454545454
HH1,13-24,0,0.18603691112190385,0.21559356136820923,0.18711365612176925,529,0.9635701275045537
HH1,13-24,1,0.3317306135664562,0.3386066398390342,0.3319811063268416,529,0.9635701275045537
HH1,13-24,2,0.38932329609842964,0.368284708249497,0.38855686302560877,529,0.9635701275045537
HH1,13-24,3,0.0,0.0,0.0,529,0.9635701275045537
HH1,13-24,inactive,0.057017969888295286,0.04932092555331992,0.05673756754458034,529,0.9635701275045537
HH1,13-24,outlier,0.035891209324915005,0.028194164989939638,0.035610806981200054,529,0.9635701275045537
HH2,13-24,0,0.3888888888888889,0.21559356136820923,0.29768082177274163,18,0.47368421052631576
HH2,13-24,1,0.2777777777777778,0.3386066398390342,0.3097929683363338,18,0.47368421052631576
HH2,13-24,2,0.3333333333333333,0.368284708249497,0.3517287938155247,18,0.47368421052631576
HH2,13-24,3,0.0,0.0,0.0,18,0.47368421052631576
HH2,13-24,inactive,0.0,0.04932092555331992,0.025958381870168374,18,0.47368421052631576
HH2,13-24,outlier,0.0,0.028194164989939638,0.014839034205231387,18,0.47368421052631576
HH3,13-24,0,0.4375,0.21559356136820923,0.35215136975700356,32,0.6153846153846154
HH3,13-24,1,0.28125,0.3386066398390342,0.30331024609193624,32,0.6153846153846154
HH3,13-24,2,0.28125,0.368284708249497,0.31472488778826807,32,0.6153846153846154
HH3,13-24,3,0.0,0.0,0.0,32,0.6153846153846154
HH3,13-24,inactive,0.0,0.04932092555331992,0.01896958675127689,32,0.6153846153846154
HH3,13-24,outlier,0.0,0.028194164989939638,0.010843909611515245,32,0.6153846153846154
HH1,25+,0,0.3253968253968254,0.3253968253968254,0.3253968253968254,126,0.863013698630137
HH1,25+,1,0.42063492063492064,0.42063492063492064,0.42063492063492064,126,0.863013698630137
HH1,25+,2,0.23809523809523808,0.23809523809523808,0.23809523809523808,126,0.863013698630137
HH1,25+,3,0.0,0.0,0.0,126,0.863013698630137
HH1,25+,inactive,0.015873015873015872,0.015873015873015872,0.015873015873015872,126,0.863013698630137
HH1,25+,outlier,0.0,0.0,0.0,126,0.863013698630137
